id;isbn;name;publish_year;copies;cover;cover_content_type
1;alarmed;amidst;excluding;15923;../fake-data/blob/hipster.png;image/png
2;yuckX;bah ferret lest;yawningly;28334;../fake-data/blob/hipster.png;image/png
3;weird;though capacity always;misappropriate;24922;../fake-data/blob/hipster.png;image/png
4;hideous;unabashedly upon;inasmuch;23809;../fake-data/blob/hipster.png;image/png
5;how tremendou;provided annual;pro defendant;9076;../fake-data/blob/hipster.png;image/png
6;skiXX;silently than mmm;spell for;18261;../fake-data/blob/hipster.png;image/png
7;righteously a;abnormally;ginseng;3139;../fake-data/blob/hipster.png;image/png
8;yippee viciou;ha elevator;whenever;14460;../fake-data/blob/hipster.png;image/png
9;gadzooks;scrape;phew;20422;../fake-data/blob/hipster.png;image/png
10;flayX;packet enormously harmless;upon once chalet;28704;../fake-data/blob/hipster.png;image/png
